	sentiment	content
16939	fun	white pointy shoes haha and ah you got me excited about the new drummer  youre mean
16940	sadness	hubby went to pick up  my fringe comics today  store by his work  that store was out of business too  no comix in houston  have 2 web 
16944	fun	dota is an addiction i waste 67 hours playing dota
16946	sadness	i miss her alot and its only been one day
16947	surprise	thought i saw the atrak van turns out its the alcohol team van 
16948	worry	 im glad your inside too  take good care of yourself  an event in rising sun  too bad youre filling ill or we might see you
16949	love	 too bad we can catch it here in brazil  but good luck with your show youre amazing
16950	fun	meeting up with karen and the boys for some drinks at the dock  all i wanna do is drink though     fuck it like andrea said haha
16952	neutral	 ahh dang of course it had to do that  she better email you back fast
16953	anger	omg tony hawks motion on the nintendo ds sucks ass
16954	worry	these messages are teasing me it isnt fair 
16955	worry	scared  waiting for the call
16956	sadness	so im kinda pissed that boys like girls is gonna be at kentucky kingdom on a date i already have a show
16958	anger	my new site is stuck in the google sandpit now  test of my skills until it comes back out
16959	fun	liz just left  aww it was so good to see her 
16960	sadness	looks like it got cloudy again outside and i have nothing to do tonight boo friday
16961	anger	ahhhhh fuck it  none of my friends want to see it  and they dont wanna chill tonight  so its just me myself and i
16962	worry	its starting to look like the  website may not happen in any form
16963	love	 so true   sad to say   im glad youll be with me to be my support group 
16964	sadness	workin  still lol i wanted to go to the spring game
16969	worry	i think the food i ate made me sick  i no feel so good
16971	worry	i dont like seeing my best friend cry it breaks my heart and i dont know what to do or say
16973	sadness	im really sleepy and i want to go to bed but its upstairs and its a mess and i know im gonna have to clean it  nooooo
16974	worry	there are some really scary noises coming from outside
16975	worry	i cant take it anymore
16976	worry	ok i am finally starting to hit a draw but now my short game has gone to crap
16977	worry	wish i was feeling better ive been holding a potential cold at bay for a few days now amp i think it is winning aches cough
16978	surprise	   really what a waste of money then
16979	sadness	we are on the slowest train ever it stops everywhere  missed a quick train by a few minutes
16980	sadness	 stop being mean to me ur hurting my feelings
16983	sadness	 no you didnt send pics  i was supposed to go with but shit got all fucked up 
16984	neutral	 why dont u use twitpic none of ur pics show up on my phone
16985	neutral	i cant find my camera
16990	sadness	im heading home  gotta work sunday 
16991	fun	 omg wow  i hope everything is ok now
16993	fun	  i wish i was there to hear that
16999	worry	has a bad feeling that this time next yr her fav musical may no longer be on the west end
17000	worry	 im home phone died thou
17001	worry	its the weekend but 9 year old is grounded which makes me grounded too
17002	worry	 it wont work for me
17004	worry	 i cant call you from europe
17005	worry	 trying to fix my background
17006	worry	 i heard from  amp  youre away  i miss you too  look forward to tweeting with you when you return 
17007	sadness	 how was your day  boredom stuck my head
17008	sadness	had 2 leave the mrs  cuz i have to go 2 work  really didnt want to 
17009	neutral	 im not in america im not going anymore  you phoned earlier
17010	worry	aw man have to go only got to listen to the block party for like 10 mins
17011	worry	 as ur coming on to here im just off to bed  hows ur day been x
17012	sadness	midnight icecream weather so damn bored
17013	anger	im so sick its ridiculous 
17014	sadness	 ss amp i r  the devon horse show  gettin mostly rained out  lots of events have ben cancelled incl the coaches
17016	love	just spent way too much money      on organic shampoo
17017	sadness	friday evening what to do what to do   i have to idea 
17019	sadness	im mad cuz i cant get any picture to work 
17021	worry	 hell yea its hot here  i miss cali
17022	anger	at famous daves with my mom  so hungry 
17023	worry	i miss the seniors already
17025	worry	 yeah but too late hun  lol
17026	sadness	in desperate need of some tweets to cheer me up
17027	worry	 lol it went okay as far as i can tell   but then i had to do a test today for geo and i was all zoned out and got like 65
17028	fun	  oh hell yeah lol  im a vegetarian tho but i still cooks the mean x im a traitor
17029	sadness	 i dont know enough about sotomayor but she made a big booboo talking about making law   doesnt know what 3 branches do
17030	sadness	we lost a peacock chick this morning
17031	sadness	no free ice cream though
17032	love	watching nhl playoff game1 tomorrow night if anyone is interested and i know that none of you are 
17033	worry	 guessing thats a question to everyone  im struggling to finish my last university assignment before i can start my summer
17034	worry	need a job asap just got laid off and it sucks
17035	worry	twitter will not upload my icon picture  it hates me  eff this ill upload it later
17036	neutral	 hah i knew i didnt have a chance
17037	fun	people with mustaches get super powers and mustaches  no fair 
17039	worry	need some coffee  getting serious withdrawal symptoms
17041	worry	at the only with  and  but not with  
17044	worry	i like how no matter how much fun im having i need a hug a bowl of ramen and a comfy blanket as soon as i get home 
17045	neutral	 no not yet  i have 3 weeks left o do you have summer holidays now
17051	worry	 heres a more appropriate  tweet  is everything ok  your last 3 days of tweets dont paint a good picture c
17052	sadness	today is just not my day  i cant seem to feel any better  if i dont eat im hungry  if i do eat i feel like im gonna be sick  blah
17054	sadness	i think i have a fever
17055	sadness	 oh that looks boring  and even more boring you have an exam on a saturday
17057	love	sick  with a flu like thing 
17058	neutral	 please let me talk to you
17059	neutral	 shes just finished  the pretenders now  x
17060	sadness	sad that when fitness center reopens will not have our zumba class anymore   just found out today on our last class before closure 
17061	neutral	im new at this and i dont have any friends now  please comment 
17062	sadness	truck full of silver bars imploded on itself   delayed us an hour and we didnt  even get a bar for our troubles   no photo
17063	worry	 t ere is a visio document but its continuously changing until now 
17064	neutral	 i did  i dont no
17065	neutral	oh and i almost forgot i have to take my lip ring out for water polo season
17066	love	such a good day even though my so called friends did try to row away from me  but god i love em p
17068	neutral	 what i tried to say was it seems like the people of facebook dont agree  i guess i fail  cries
17069	sadness	 i hear you   any time earlier than 11am is just mean
17071	sadness	had some pliers blow up in my face today  my mistake killed the wrong breaker  wires connected on the pliers boom  big chunk gone 
17074	fun	 im out of town next week   well have to party when i get back  happy early birthday
17075	neutral	  take tylenol or advil whatever one i never get headaches so i dont know which is better
17078	sadness	tired as fuck  its pissing down with rain  i miss summer
17080	worry	they arent selling jamba juice at my school today  theyre going to sell it next week  on monday 
17081	sadness	everytime still holds horrible horrible memories for me though 
17083	sadness	 ty  just a long tiring day filled with expensive plumbers and work  needed calgon  hope you amp  have an awesome weekend
17084	surprise	 i dont see it where do u see it listed at cause i dont
17086	fun	 hey chick  when are we going to ja to pick up some hot guys and eat jerk pork and festival well you already have a hot guy
17087	sadness	  yeah i know they are fuck annoying with that  but its such good promo  i lost some contacts for business in there
17088	neutral	actually i could do with going to weight watchers
17089	worry	wishing adam wasnt at work
17092	worry	 am getting upset listening to the say now  i want to speak to you mitchel but my darn phone got no money on x
17093	sadness	 im so sad right now 
17095	sadness	looking at my daughters baby pictures makes my heart hurt
17096	love	 lol too bad hes taken
17098	sadness	the icecream truck never comes to my house
17099	neutral	 im having the same problem
17102	worry	its so hot tonight  ugh gross 
17105	worry	i wish i could spend my last weekend as a high school student in burbank with everyone and not fly off to dc
17106	sadness	just got home from the hospital  i have another clot in my leg
17107	worry	 can you stop working so i can have someone to play with 
17109	sadness	im leaving work now  trying to decide if i return on sunday afternoon or monday 4 am to meet a noon uk time deadline 
17110	fun	i am so glad its friday  i just got off work and im so tired 
17111	worry	the fact my room is so hot is making me feel sick
17112	sadness	 yeah its work  its been busy all day and im tired and hungry 
17113	worry	wish i brought some warmer clothes  its chilly here   only negative thing about the trip amp the no sun which is connected to chilliness
17115	sadness	  maybe next time  cant be away this weekend as much as id like to jump in the car and go  pout
17116	sadness	 have a great show doug have fun  im sorry that i wont be there to watch you
17117	worry	 oh no dreadful thought wont you get to spend any time blipping at all next week then
17118	neutral	 when will these stores in sacramento open been waiting and nothing
17119	anger	 ahh i wish you guys would come to a hot topic near me 
17121	sadness	listening to sweet talk 101  cute is what we aim for  considering taking up the gameboy color again  i miss chiptune 
17122	worry	what happened to my early night am about to turn into a pumpkin
17123	anger	 thanks none close to me 
17124	surprise	im home where i am about 2 drink alone 
17126	neutral	dang i need a bed in the bay area monday  tuesday night  anyone able to help out
17129	neutral	 no way to comment on site unless you are a member
17131	sadness	sigh  stayed up late cause was on a role w assessment now im so tired my eyes r stinging amp my head hurts  amp i still need 500 words
17134	neutral	coming to the end of my vacation 
17136	sadness	first sports banquet without katie
17138	surprise	 plz dont fall in love with tokyo and never come home
17139	sadness	well i guess im not heading out to la this weekend doubt ill get to go to the ps blog meet and greet
17140	neutral	  i could go for some lulus or slanted door right about now   tomorrow is the farmers market right
17142	sadness	sitting at home being bored 
17143	neutral	kimberlee hatch i miss you
17146	worry	 ouch thats your achy back so sorry   i didnt mean to cause you pain
17147	sadness	apparently im not meant to take dance lessons here
17148	sadness	im headed home  sea world closed early
17150	sadness	 dang of course im just jealous cuz i didnt think of it first
17151	sadness	just got home from the bea amp it was kinda boring 2 me this year  but hung out with some great authors amp coworkers
17154	sadness	 im so upset u were at us weekly my uncle works there but he apparently didnt know how big of a fan i am
17155	sadness	 the second i hit reply to that tweet i was asked to stop playing music   i am now sad  someone sing to me  on or off key works
17157	neutral	grandma mode i dnt anything i just wanna lay here and watch tv
17158	sadness	my net died so yeah   im sad now
17159	fun	hubby needs a vacation  thank god were leaving for myrtle beach in a week
17161	sadness	  im trying to fix myself really but i need to stop cutting myself
17162	neutral	 ye it is not fare on me  x
17164	worry	 tom get ready here in porto alegre is really cold
17166	worry	this cheese is fuckin up my stomach
17167	worry	en el salon  que caliente el blower ouch
17168	worry	 gutted your not playing kos in july jules
17169	fun	 amadeus is the best mozart movie  i got kicked out of high school chorus missed a trip to hawaii 
17170	anger	   someone is ignoring me  amp being mean 
17171	neutral	i would get a lot more done if i could list items on etsy on my phone  can do everything but upload pics
17172	fun	 that would be awesome i think i hate how expensive phones are
17173	sadness	  no i didnt get your text 
17175	neutral	finished death du jour  schools out   nerd 
17176	worry	i need someone to watch my yorkie 
17177	neutral	  i have no idea whether or not to drink anymore 
17178	worry	 i bet you miss trace loads
17179	love	  people you love  wait i am not there
17180	love	 i do but i have to go to a dang wedding in madison
17181	anger	 and he cant even tell me   me and him are fucking done professionally  fuckin ass 
17183	worry	 why you not go on the twitters no more   oh bais
17185	fun	 i work in a room in the middle of the office thus no windows  we call it the programmer cave i  can only imagine the sky 
17186	sadness	 she forgot her words and then started crying  and she stopped singing but then carried on and then cried again so she stopped
17188	anger	went to galveston want to go back
17189	worry	 you still have class ouch
17191	neutral	 flo is one of my backup wives in case renae gets abducted by aliens or russians  but if flos pregnant it changes things
17193	neutral	 where were you on wed night
17194	sadness	 trying to watch your vids but the audio has been disabled
17195	sadness	is disappointed to learn newark oh cancelled their july 4 fireworks due to the economy
17196	sadness	hey guys y did the sun make my day gloomy
17198	sadness	is definitely working sunday afternoon to late evening
17199	worry	 wow u might have bad days lately    sorry  where are you workin 
17201	neutral	  omg i cant call you from england this sucks please say hi to me on here it will mean soo much d
17202	sadness	really want to see up but no one wants to go with me
17208	neutral	94 more days till bh comes back to la
17209	worry	i think i tricked out my ankle during cardio yesterday   im getting old 
17210	worry	i dont know what to do about tomorrow
17212	neutral	missed britains got talent tonight but i heard who got through amp what happend  gutted that greg pritchard didnt make it
17213	neutral	omg my dad called me a johny come lately haha because im slow  haha
17214	neutral	yeah it was a silly mistake  at the end of a long day etc etc  they were brand new pliers too
17219	anger	hmm maybe i this time i really did over react and do the worst
17220	worry	i was an extra  got ready for work for nothing  studying all night
17224	worry	iam back to tweetie 1 1 1 
17227	worry	it hurts to breathe again  why
17228	worry	26 pin multi core cable goes bad just b4 service
17229	sadness	i love me some americana but no movies to see
17230	worry	i have a belly ache 
17233	worry	  how long is the delay
17236	worry	i soooo want to get a nikon d 90  damn y do they cost soooo much
17237	neutral	thinking lots of revision tomorrow  woo hope it a sunny one 
17238	sadness	 ohh im watching my best friends wedding  its so sad 
17239	fun	trying to upload one thousand photos
17240	sadness	 wont need my hugs anymore
17242	sadness	 i really want to talk with you mitch but i live in indonesia i cant call you  at least give me a shoutout please
17245	neutral	am now wearing the other half of the glass of sparking wine
17247	sadness	why did everyone seem to leave me this weekend   sigh  in bed
17248	sadness	 i wish i could see that first hand
17249	sadness	i am so mad that glee wont premiere till fall
17252	sadness	 yeah i know its so stupid  there no jobs i mean come on
17253	worry	 no trying to reason with it  it didnt listen
17254	sadness	   and nana wish i was there last night
17255	sadness	 i would love to see the sun again   it has been raining here for 3 days now 
17256	sadness	 me too  even my life is pretty good but i always say its shitty
17258	worry	 i cant i have an exam on wednesday
17259	neutral	 talk to their creators yesterday no date for public release just developers
17261	anger	 go much bamboo would you like to attempt to structure a sentence that makes sense why did i fail english and others pass
17263	worry	 how and who is mommy i want to call but the phone is still broke
17264	worry	 our chandelier is here i seriously dont know how 2 get it through our door without sending it crashing down our steps
17266	worry	back from comedy night  great fun  its only midnight  im knackered  im getting old
17267	worry	why does it randomly hangup on me
17271	sadness	ugh sittin at work waiting for the carpets to be cleaned   i was suppose to be out by 7
17273	fun	 yay i think i found it and a few more
17274	worry	also why are paracetamol so hard to swallow even when the long ones are snapped in half  ow 
17276	sadness	my attempt to sync facebook and twitter seems to have failed
17277	worry	 ahhh still not following do you think she forgot
17278	neutral	wants to go the the vintage paper show but no one will accompany her
17281	worry	i want a lie in tomorrow wont be getting one though
17283	sadness	today was the last day of high school for me and i ended up going home sick   stupid dead rats
17284	anger	 your teacher sounds uber disrespectful 
17285	worry	 d but it is making people unhappy and i dun like unhappiness
17286	surprise	  well i see ur moving onto the next cute guy
17288	neutral	 do you know why we have two categories on our website im trying to remove one but i cant 
17290	sadness	going to the memorial for the guy in my grade that died 
17291	fun	i need to look at apartments tomorrow
17292	neutral	 ew i know exactly what youre talking about
17294	worry	 you dont even care about there their and theyre 
17295	worry	doesnt feel good  but i cant miss work tomorrow
17296	neutral	 not really sure  need to deposit and save some money
17299	anger	i bit my lip hate it when i do that 
17300	neutral	 if only youd come the sick one with inflamed vocal cords
17301	sadness	 i just dont want to be here 
17302	fun	i have an awesome picture of happy pint but its not sending
17306	worry	 i wish you were in my class last year
17307	neutral	i want come back to u s a 
17308	sadness	on my way to shreveport to forget all the bad things hes brought into my life
17309	love	feeling better  drugs are awesome sad waste of a 3 day weekend
17310	neutral	time for a clean up 
17311	neutral	debating whether to go to bed and start reading the last harry potter book even though as soon as i start reading it i wont wanna stop
17312	anger	i have had the william shatner version of rocket man in my head for 3 days now  its fucking distracting
17313	anger	i hate being yelled and sworn at
17314	surprise	why is no one online
17315	sadness	crossing the bridge leaving ocean city  im sad 
17317	fun	 i am doing the same  i want to travel a little
17318	worry	ouch waited to long to get eyebrows waxed
17322	sadness	very much disappointed with the angels and demons movie  shame it was a great book
17324	love	95 degrees and a crappy ac
17328	fun	 thats the prob i work from home and the beds calling no screaming out my name had really strong coffee instead
17331	sadness	 its best if i check it while it is up  when its down i cant really see anything
17332	sadness	bored fixed the internet for my dad but now im bored to death
17334	sadness	rip big cup  i will miss you
17336	neutral	 speaking of meeting people do you have them photos of us and oli i lost them
17337	sadness	cant set p my phone to twitter
17339	sadness	hes outta the ofc til monday grand kinda bummed me out but bc i was genuinely sick theres nuthin i can do about it  gt
17342	worry	if my phone dies i will die too
17345	sadness	 still no class loaders or even custom assembly loaders
17346	worry	  looks like its gonna rain
17347	neutral	once again i am looking for a new beard  it just fell out the window  any bright green ones this time
17349	sadness	 why are you so angry keith   whats up 
17350	love	 ps missed your tweets today  guess im addicted too 
17351	neutral	 i no  i wanna move to america
17352	worry	 i hope so  i really need one well see  unfortunately drama always finds me 
17355	love	 thats awesome  cant believe they have the poster up already i havent seen one over here yet
17356	worry	cant set up my phone on twitter
17363	worry	how to ruin friday your dad tells you theres something wrong but you should be at home so he can call you  he usually never calls
17364	worry	 lm on 3 days too matt  no fun this weekend 
17365	fun	glad to be home i wish i could make  feel better
17367	fun	crisis averted  phew on a different note  and  you guys are making me so proud tear  wish i could have joined
17368	surprise	 oh no thanks for that blog entry but i ordered mine a  few days ago i feel so dumb
17369	sadness	 warm and wet  spent the day carpet cleaning the yacht
17370	worry	trying to figure out how this works    boo
17371	sadness	they are out of ice cream at the crazy mocha in ss  this means no espresso milkshake 
17372	worry	 hey thought ud be on here most likely im stressed out  i really dont know why  x
17373	fun	 fabulous  and i didnt get that pic  gmail be acting the fool sometimes  can u dm me it
17374	sadness	 nooo it was a real mushroom but our neighbor uprooted it
17375	sadness	i should stop trying to reach 
17376	neutral	   you cant be 29 on sugar mountain or so people tell me     
17377	fun	 we cant wait to see you too pls come back to iowa it isnt the same at the theatre
17378	sadness	tired but cant go to bed yet 
17382	sadness	puzzled by peoples mood swings  it makes me somewhat sad that i cant pinpoint  how  they feel
17384	worry	 pandora is blocked at my work  bummed
17385	sadness	just had a falling out with nick
17388	fun	romeo and juliet were very much in love when they were wed  they honored their vows and where are they now theyre dead 
17391	sadness	i had to unhook twitter from facebook because all my facebook cronies were complaining 
17393	worry	oh hey look north korea are going to kill us all or at least some of us 
17395	worry	wide awake scoffed 34s of a pizza and feel like a sumo  such a weak day run tomorrow
17397	neutral	nobody is up this early
17403	neutral	 now it let me upload a pic but i dont have one of myself in the pc
17405	sadness	 belay the swimsuit hot tub wont be ready this weekend   sadness
17406	love	  sending you both tons of thankful love for sock summit  i cant believe the utter crap that some people spew 
17408	sadness	bah still at work  lol my feet hurt and my nose wont stop running
17409	sadness	 i dont evn talk 2 him no more  it was a huge mistake  i shoulda listened 2 her  i kno shes disappointed in me 
17411	worry	i feel useless i dont know what to do right now  im so bored
17415	sadness	has finished exams  has almost moved out of halls and is leaving london tomorrow
17416	sadness	thats okay  i didnt want to watch shelby anyway
17418	worry	 i am sorry  that sucks  i got my overtime in my check already today now i am really tempted to blow off tomorrow
17420	neutral	ha i think i really have lost it  time to get ready for work 
17421	neutral	 i couldnt get used to the columns in tweetdeck   there was only room for 4 or 5 columns on my macbook 
17422	worry	 haha i wont  well il try not lol  night chick xxxxx
17423	surprise	  what about sauce huh im going to california tomorrow morning
17424	sadness	twitters being lame and wont post my twitpic of gucci and i
17427	fun	 yeah it made a great noise and tripped the house circuit breaker  good times  200 worth of parts too
17429	worry	hate being skint  anybody want to give me another job haha
17430	sadness	 but i know i cant
17431	worry	poor flores not happy about the latest news  nats
17432	fun	 good to see you back  sorry that happened to you
17434	worry	i just burnt my ear
17436	fun	getting ready to see my cousins graduate   gonna miss em 
17437	fun	  im so jealous i dont know when ill be able to see conan 
17438	sadness	 same here  like i know theres people who have worse lives than me but i wish i could go back and change some aspects of my life
17439	worry	 yes i am   but she didnt follow me
17442	fun	jon made one of the greatest dinners ever roast pork tenderloin on a bed of wild rice on a bed of mixed greens amp yummy sauce  no wine
17446	love	is it wrong that i love john travolta
17449	sadness	i dont saw the movie
17450	sadness	i am so hungry if my arm were on the core diet i would eat it  guess i have to wait until dinner is ready
17451	worry	 itd take jamy 6 months to figure out how it works  i wanted to go see a movie tonight then i remembered the game was on
17452	worry	i need monies   school is expensive 
17455	sadness	sick of fighting so it looks like no more burlesque for me
17458	worry	major iphone problems  wont let me send texts but i can do everything else can anyone help
17459	sadness	 aww thats awful  makes me so sad
17463	worry	 im sorry about your car  i feel for you 
17464	neutral	this gar keeps going out  3rd relight
17465	worry	 nick wtf i was gonna go but i have no ride  boo
17467	neutral	im slightly over it dont feel like today much at all
17468	worry	sugarland  so hot outside   why so much hotter than the northwest
17469	anger	stupid hand  have a2 and flop nut low and top pair  but guy had also out low and out flush  quartered   at 5900 
17470	sadness	is feeling a bit lonely
17471	worry	sad ending to the softball season 
17473	anger	i am slowly getting angry at this jon and kate plus 8 thing
17474	love	i love to jazzercise with mrs  underwood  i wish she was my chaperone 
17475	sadness	 ouch  realising how sheltered my upbringing was 
17476	surprise	believe it or not im a super geek
17477	fun	hey im back on  but msn wont work  darn msn haha  cant stop thinking about 3d movie haha
17480	anger	just found out my parents are putting down my dog tomorrow morning  upset
17481	sadness	 sounds like a terrific service  im sorry to hear about her mom 
17482	worry	some guy just said he wanted to spank me
17483	neutral	the palm pre doesnt record video
17485	anger	  wtf winter isnt due til monday am freezing
17487	sadness	 ellen why you got to lie   im so sad rite now 
17488	sadness	stars and sons was hard to review  didnt grab me instantly this morning so will have to delay the review to a 2nd listening tomorrow
17491	sadness	 was jst out there wednesday
17493	worry	 i am lost  please help me find a good home 
17494	sadness	off to the gym by myself  no fun
17497	worry	 i am lost  please help me find a good home 
17499	surprise	 really awesome im mad cuz my followers r goin down  take a breath
17502	fun	 im only on 1800  lol
17504	sadness	 lucky ass bitch i am stuck at work
17508	worry	miss the newest version on glade on debian 
17509	worry	boredom isnt any fun wish i had somebody to hang out with tonite 
17511	sadness	seagull hates me and im utterly depressed about it  i miss him 
17512	worry	 nope wont be    although i am not sure i want to go
17513	worry	its gloomy as hell outside today 
17516	neutral	 yeah but too late  lol
17517	sadness	 i wish i could but im  work when shes on 
17518	worry	 are you really not touring anymore  my brother told me  ill miss ur concerts
17519	sadness	got the cofo to late didnt close today   will close monday back out to meet a buyer tonight to show a few homes to
17522	sadness	so bored  couldnt go to akon 
17523	sadness	chris sab and i  comme estas bitches
17524	worry	 oh man that sucks  im sorry doll 
17529	worry	so much to do this summer hopefully all comes in favor and nothing has to be cancelled  worked hard for it 
17530	surprise	 we tried yesterday and they said no
17533	fun	 300 later  i feel so good but guilty
17534	sadness	rode the moped to the mall  fun stuff its flippin gorgeous out  im sad that  is sick
17535	sadness	no santa cruz for me  but i do have an interview at jamba tomorrow morning 
17537	fun	 i have to call stevie to reschedule  i won a competition yesterday to the launch of sims 3 at luna park same day at 6pm
17539	neutral	 i know i know   hugs
17542	neutral	 that is exactly how i feel right now 
17543	worry	turning laptop of  im scared  poor baby 
17544	sadness	summer yet i have to read 6 books  6 long books
17545	worry	wonders if anyone would care if she died tomorrow
17548	fun	my best mate found out that i am moving  she doesnt understand i wanna do something with my life leaving to go to uni 
17549	worry	 yeah  fail times  she was in an accident like a month ago too almost same thing  was on the bus on her motorscooter
17550	neutral	 did you get my text
17551	fun	 omg yes but i have to get ready for work early tonight  i have payroll distribution duty
17552	neutral	i have to work tomorrow too sheli
17553	worry	still sick  thinking about naming the puppy june
17554	anger	which would be a lot easier to get if plane tickets to az didnt raise 80 in price
17556	worry	  ah bad times   i hate exams  i feel so unprepared this time as well  sucks haha 
17557	worry	my blackberry is soon approaching her death
17558	worry	such a headache  its killen me
17559	fun	so bored  gonna go to the carnival and get an all day pass tomorrow  excited for that but very bored today 
17560	neutral	i miss you bby      wish you were going tomorrow to make me do good 
17562	sadness	 i think they are disgusting
17563	worry	trying to upload a custom background on here but its not working
17566	neutral	 i wish you were here with me right now
17567	anger	  touched a real live cube in hamilton  dealership closed  couldnt sit in it though
17568	sadness	all dressed up and no where to go 
17569	sadness	homework on a friday night lame
17570	neutral	 i would have but supertarget didnt have any 
17575	worry	gettin ready to head back to chi dont wanna leave indy  fb
17576	worry	 i am lost  please help me find a good home 
17578	sadness	was just in a wreck  getting real sore now  it was their fault and they didnt have insurance  was planning to go to the wedding tonight
17579	sadness	 yeah now im done but i have to work all weekend  im sooooo bummed about it
17580	worry	 what software do you use to design sites im a cs student and currently i hard code everything  its not the fastest way 
17581	neutral	 there is good cholesterol  there are no good tumors 
17585	neutral	so bored  nothing to do
17586	anger	yay for st louis traffic
17588	sadness	the sun is breaking through the clouds and now its covered up again 
17590	worry	trying to fix my internet connection guess my prayers have been answered and i wont have any study distractions  ugh
17592	neutral	 probably not  i want to go home
17593	worry	  hope everything ok can burr fix this
17594	worry	 bummer that is a bad experience 
17598	sadness	i dont want to be ugly anymore
17599	sadness	is home alone  doing hw
17600	worry	 paramore makes me want to punch babies  lol
17601	sadness	 gets to go home  im here until 1030
17602	worry	r u still there  i guess not    i want to talk to you
17604	sadness	last day of school and last concert of my life  wow  can you say emotional im really gonna miss mhs   had graduation practice today 
17605	sadness	 im so pissed i couldnt make an instore at hot topic in the rockaway mall to see    haha no he wont 
17609	neutral	june gloom seems to have arrived early
17610	anger	my phone is dead  this sucks
17611	worry	 oh no sorry to hear that  
17612	neutral	  just wanna be there tonight
17615	sadness	look how   choke on this dick talks to me
17616	worry	kind of im trying to make sure i have everything yet still look after the boy hubby isnt home yet
17618	neutral	really really cant sleep  x
17619	sadness	so i love my mac but msn doesnt work on it still
17620	worry	 oh that sounds bed poor girl
17621	anger	 seriously technology isnt always my friend  nothing like doing double research 
17623	sadness	i hve a blister on my pinky nd it hurts soooo much
17624	sadness	i lost 15 dollars  i always lose my money
17625	sadness	twitter stop being a dick and let me change my background image  imagine a shiny nhl ring in the background
17626	love	 i like all the songs  i cant say just one guys love ya
17627	worry	 too late  im already on the bus goin home  what the hell u talkin about drinkin tea
17628	neutral	 yes yes she is indeed nuts   like me  though i am not rich  tut x
17629	fun	at least two to three times a week i turn on the tv find comedy central already on and have to endure a brief moment of scrubs
17630	anger	stupid storm  no river for us tonight
17631	fun	 ewww poor you  wish you all the best thank god there is rolland garros this month isnt p
17632	love	 flew home from london to ni to catch up with the family and caption a show   everyone went to bed early and left me
17633	worry	 dont be mad at me   please puppy dog eyes
17634	worry	i took her cracker now she doesnt love me
17637	fun	i think i already regret telling rick i have an xbox  im losing him to that and twitter   you still want it jimbo haha
17638	surprise	 haha  lucky i havent seen it yet  it fucking sucks  
17639	neutral	 i keep thinking about food i made myself some tea
17643	neutral	im not feeling this weather today where is the  sun 
17645	sadness	 well yeah  but my mom doesnt wanna drive all the way to sac if we were that far away 
17646	sadness	 awww poor leg  sends virtual hug x
17648	anger	headed to chicago for my cousins wedding  leaving at 5pm on a friday was a horrible idea  sitting stopped in traffic
17649	worry	working on something exciting  and i cannot tweet about it for several months
17650	neutral	 if i had a car
17652	neutral	 i like them   is that weird
17653	worry	 oh no fair  thats in 9 hours
17654	surprise	after i said hi how are you she did at double take amp left  damn it i should have let her look around first
17655	neutral	night to   the light dims as you leave the chat room
17656	fun	this day jus keeps getting better and better  fml
17660	neutral	bloody intrusive thoughts  im really going to bed now
17663	fun	ate huge set of appetizers  full now
17665	worry	unanticipated thunderstorm quashed camping trip
17668	worry	just got my marks   bcit is the death of me i swear
17669	worry	i hate to say this but cla really should have had a press conference or something today 
17670	fun	 you rule for doing this i bought the second game at full price and lost it in a move 
17675	sadness	whatever  i give up my phones about to die anyway   next time
17676	worry	families  i really feel for some people and wish i could help but i cant
17677	love	  i love jeopardy  take that
17678	sadness	 sorry  i have failed to grasp your meaning
17679	worry	just got home from a work  and not looking forward to it tomorrow morning oh and tomorrow night great
17681	anger	general cleaning i hate cleaning
17683	surprise	oh i forgot  they weighed me at the dr  i am at my highest weight ever 
17684	love	it baffles me how much radio shack isnt the same radio shack i grew up with
17685	worry	 i doubt ill get one to be honest
17686	neutral	 gross haha it was like the tiniest piece ever but i can taste it like i ate the whole onion eww
17688	worry	im really nervous about giving a speech at a wedding tomorrow
17690	love	 still no michigan shows    wheres the love
17691	neutral	have to go to my old house and finish moving 
17692	fun	 wish  was coming too  i guess we can make time for you though if we have to 
17695	sadness	looks like its another night at the office lol
17696	worry	its about to storm soo much 4 goin out   ill just play on the net for awhile
17697	sadness	longest flight ever  not particularly unpleasant or uncomfortable just really really long
17698	sadness	has a saw thumb from playing virtua tennis 
17700	worry	peeling so much    i feel so bad
17701	worry	 so when are you guys coming to alabama you were supposed to be there tonight but cancelled i had great seats
17702	worry	 what happened i thought you were coming back today 
17704	love	ok back to packing  have been sitting in car charging phone as charger was left  home as well
17707	worry	 i thought it was just me that was like really hot  my room is too hot to sleep in
17709	worry	 living in harlem i can say for sure that there is far more pollution here than in other parts of nyc where ive lived 
17711	neutral	 yea it is   thanks for the link 
17712	sadness	when you see me point and laugh  im ugly 
17713	sadness	home alone on a friday night  doesnt get sadder than that folks
17714	worry	3 days left of school  for bryce and tyler thats 3 more days of elementary
17717	neutral	grrrr i got the wrong size coat for the sheep
17718	sadness	needs to see a band live  damn blink for not coming to the uk this year   anyone wanna go see billy bragg or colin blunstone with me
17723	worry	 i guess if you cant accept me ill have to keep it movin
17724	worry	 i really wish i could make it a 12 hr  drive just isnt going to happen this weekend 
17726	sadness	not in front of the tv  wats the score an inning
17728	sadness	ok son in bath so gonna see if i can find some quick quotes   gonna miss yall this weekend  im already gettin sad
